species	countryCode	Longitude	Latitude	gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species2	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode2	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
Acianthera johnsonii	CR	-84	10.05	45817883	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera johnsonii		SPECIES	Pleurothallis johnsonii Ames	Pleurothallis johnsonii	Pleurothallis johnsonii  Ames	CR	P.N. Braulio Carrillo Zurquí Station; Along Sendero Natural.	San José	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.05	-84			1680	0			22/09/1990	22	9	1990	2839901	2839899	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	148371		Serrano, Emily		CC_BY_4_0		Stephen Ingram			2025-02-16T15:36:08.924Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera lojae	CR	-84.06	10.46	45817904	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera lojae		SPECIES	Pleurothallis lojae Schltr.	Pleurothallis lojae	Pleurothallis lojae  Schltr.	CR	Cerro Sardinal, ca. 2.5 km N of Chilamate	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.46	-84.06			130	0			21/01/1986	21	1	1986	2839654	2839652	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	149291		Quesada, Alonso		CC_BY_4_0		Grayum, Michael			2025-02-16T15:36:09.120Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria	CR	-84.8	10.3	45817913	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera sicaria		SPECIES	Pleurothallis sicaria Lindl.	Pleurothallis sicaria	Pleurothallis sicaria  Lindl.	CR	Monteverde, in pastures of cloud forest owned by Campbell family.	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.3	-84.8			1575	0			02/03/1989	2	3	1989	2839590	2839584	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	150633		Blanco, Mario		CC_BY_4_0		Atwood, John T.			2025-02-16T15:36:09.121Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera verecunda	CR	-84.03	10.43	45817963	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera verecunda		SPECIES	Pleurothallis verecunda Schltr.	Pleurothallis verecunda	Pleurothallis verecunda  schltr.	CR	Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers.On trail to river station.	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.43	-84.03			50	0			26/03/1991	26	3	1991	2839909	2839908	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	154576		richardson		CC_BY_4_0		Katherine Richardson			2025-02-16T15:36:09.121Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi	CR	-84.03	10.43	45817973	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera pantasmi		SPECIES	Pleurothallis pantasmi Rchb.f.	Pleurothallis pantasmi	Pleurothallis pantasmi  Rchb. f.	CR	Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers. In old Cacao plantation.	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.43	-84.03			50	0			02/03/1991	2	3	1991	2839821	2839819	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	154603		Richardson / Currah		CC_BY_4_0		Katherine Richardson			2025-02-16T15:36:08.924Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi	CR	-84.03	10.43	45817982	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera pantasmi		SPECIES	Pleurothallis pantasmi Rchb.f.	Pleurothallis pantasmi	Pleurothallis pantasmi  Rchb. f.	CR	Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers.  Sendero Sabalo - Esquina (SSE) 1200.	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.43	-84.03			50	0			22/03/1991	22	3	1991	2839821	2839819	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	154814		richardson		CC_BY_4_0		Katherine Richardson			2025-02-16T15:36:08.925Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi	CR	-84.03	10.43	45817992	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera pantasmi		SPECIES	Pleurothallis pantasmi Rchb.f.	Pleurothallis pantasmi	Pleurothallis pantasmi  Rchb. f.	CR	Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers.  Sendero Sura ( Sura ) 200.	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.43	-84.03			50	0			24/04/1991	24	4	1991	2839821	2839819	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	154822		richardson		CC_BY_4_0		Katherine Richardson			2025-02-16T15:36:09.273Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria	CR	-84.36	10.26	45818205	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera sicaria		SPECIES	Pleurothallis sicaria Lindl.	Pleurothallis sicaria	Pleurothallis sicaria  Lindl.	CR	R. B. Monteverde Río Veracruz.	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.26	-84.36			1300	0			04/05/1991	4	5	1991	2839590	2839584	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	170004		Atwood, John T.		CC_BY_4_0		Bello, Erick			2025-02-16T15:36:09.122Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria	CR	-84.13	9.71	45818376	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera sicaria		SPECIES	Pleurothallis sicaria Lindl.	Pleurothallis sicaria	Pleurothallis sicaria  Lindl.	CR	Z.P. Caraigres Fila Bustamante, Fila El Alto, bosque secundario falda S camino viejo a Bijagual.	San José	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.71	-84.13			1950	0			03/02/1995	3	2	1995	2839590	2839584	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	195297		Morales, Juan Francisco		CC_BY_4_0		Morales, Juan Francisco			2025-02-16T15:36:08.773Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
	CR	-84.79	10.25	45818398	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera			GENUS	Acianthera Scheidw.	Pleurothallis cogniauxiana	Pleurothallis cogniauxiana  Schltr.	CR	Cordillera de Tilarán. San Luis; Río Veracruz. Monteverde.	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.25	-84.79			1100	0			18/03/1994	18	3	1994	7848554		PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	199853		Morales, Juan Francisco		CC_BY_4_0		Fuentes, Zobeida			2025-02-16T15:36:09.632Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera verecunda	CR	-83.94	9.41	45818544	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera verecunda		SPECIES	Pleurothallis verecunda Schltr.	Pleurothallis verecunda	Pleurothallis verecunda  schltr.	CR	Viento Fresco.	San José	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.41	-83.94			453	0			08/02/2001	8	2	2001	2839909	2839908	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	227860		Quesada, Alonso		CC_BY_4_0		Lobo, Silvia			2025-02-16T15:36:08.929Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi	CR	-83.33	9.76	45818571	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera pantasmi		SPECIES	Pleurothallis pantasmi Rchb.f.	Pleurothallis pantasmi	Pleurothallis pantasmi  Rchb. f.	CR	Almirante. Siguiendo la fila entre las cuencas superiores de los  Ríos Xichiary y Boyei	Limón	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.76	-83.33			1100	0			10/08/1995	10	8	1995	2839821	2839819	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	230011		Quesada, Alonso		CC_BY_4_0		Herrera, Gerardo			2025-02-16T15:36:08.930Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
	CR	-84.68	10.26	45818574	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera			GENUS	Acianthera Scheidw.	Pleurothallis cogniauxiana	Pleurothallis cogniauxiana  Schltr.	CR	Arancibia. Corazón de Jesús. Cabecera  quebrada Las Vueltas.	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	10.26	-84.68			1400	0			23/05/1996	23	5	1996	7848554		PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	230026		Quesada, Alonso		CC_BY_4_0		Herrera, Gerardo			2025-02-16T15:36:08.774Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi	CR	-84.02	9.54	45818593	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera pantasmi		SPECIES	Pleurothallis pantasmi Rchb.f.	Pleurothallis pantasmi	Pleurothallis pantasmi  Rchb. f.	CR	Llanos de Santa María.	San José	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.54	-84.02			550	50			23/03/1999	23	3	1999	2839821	2839819	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	230295		Quesada, Alonso		CC_BY_4_0		Estrada, Armando			2025-02-16T15:36:09.125Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria	CR	-83.21	8.68	45818624	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera sicaria		SPECIES	Pleurothallis sicaria Lindl.	Pleurothallis sicaria	Pleurothallis sicaria  Lindl.	CR	P. N. Piedras Blancas P.N. Piedras Blancas.Catarata El Chorro.	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	8.68	-83.21			70	0			24/04/2001	24	4	2001	2839590	2839584	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	233018		Quesada, Alonso		CC_BY_4_0		Huber, Werner			2025-02-16T15:36:09.126Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
	CR	-83.86	9.52	45818633	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera			GENUS	Acianthera Scheidw.	Pleurothallis cogniauxiana	Pleurothallis cogniauxiana  Schltr.	CR	Peor es nada. Finca medio queso. Estribaciones del Cerro Lira.	San José	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.52	-83.86			1800	0							7848554		PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	233584		Quesada, Alonso		CC_BY_4_0		Herrera, Gerardo			2025-02-16T15:36:09.126Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
	CR	-83.85	9.47	45818645	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera			GENUS	Acianthera Scheidw.	Pleurothallis cogniauxiana	Pleurothallis cogniauxiana  Schltr.	CR	Zaragoza.	San José	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.47	-83.85			1110	0			06/03/2001	6	3	2001	7848554		PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	234738		Quesada, Alonso		CC_BY_4_0		Quesada, Alonso			2025-02-16T15:36:09.635Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera eximia	MX	-9.612.667	1.600.417	46356770	84ff719a-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera eximia		SPECIES	Acianthera eximia (L.O.Williams) Solano	Acianthera eximia (L.O. Williams) Solano ined.	(L.O. Williams) Solano ined.	MX	Distrito: Pochutla. El Placeton. A 1.6 Km al NW de la finca El Faro en linea	Oaxaca	PRESENT		b459e790-0d3c-11d9-8431-b8a03c50a862	1.600.417	-9.612.667			1761				2004-02		2	2004	2839861	2839861	PRESERVED_SPECIMEN	IBUNAM	MEXU	1162322		Gerardo A. Salazar Ch.		CC_BY_NC_4_0		Kenia Velasco Gutierrez			2025-02-16T15:31:38.708Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
Acianthera eximia	MX	-9.612.694	1.600.444	46356776	84ff719a-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Acianthera	Acianthera eximia		SPECIES	Acianthera eximia (L.O.Williams) Solano	Acianthera eximia (L.O. Williams) Solano ined.	(L.O. Williams) Solano ined.	MX	Distrito Pochutla: El Placeton a 1.7 Km en RL de la finca El Faro	Oaxaca	PRESENT		b459e790-0d3c-11d9-8431-b8a03c50a862	1.600.444	-9.612.694			1780				2004-11		11	2004	2839861	2839861	PRESERVED_SPECIMEN	IBUNAM	MEXU	1172340		Gerardo A. Salazar Ch.		CC_BY_NC_4_0		Kenia Velasco Gutierrez			2025-02-16T15:31:38.699Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
